year,quarter,quarter_start_date,quarter_end_date,permno,ticker,cusip,comnam,dollar_vol
2005,1,2005-01-01,2005-03-31,18729,CL,19416210,COLGATE PALMOLIVE CO,29375061.46
2005,1,2005-01-01,2005-03-31,77546,FDC,31996310,FIRST DATA CORP,28830964.68
2005,1,2005-01-01,2005-03-31,19393,BMY,11012210,BRISTOL MYERS SQUIBB CO,28609504.48
2005,1,2005-01-01,2005-03-31,45277,IGT,45990210,INTERNATIONAL GAME TECHNOLOGY,28452513.8
2005,1,2005-01-01,2005-03-31,78875,CREE,97785210,CREE INC,28367703.36
2005,1,2005-01-01,2005-03-31,17144,GIS,37033410,GENERAL MILLS INC,28253897.07
2005,1,2005-01-01,2005-03-31,70092,KBH,48666K10,K B HOME,28219773.15
2005,1,2005-01-01,2005-03-31,81055,COF,14040H10,CAPITAL ONE FINANCIAL CORP,28201779.04
2005,1,2005-01-01,2005-03-31,59010,GPS,36476010,GAP INC,28125698.6
2005,1,2005-01-01,2005-03-31,39490,APA,03743Q10,APACHE CORP,28041211.08
2005,1,2005-01-01,2005-03-31,70228,TOL,88947810,TOLL BROTHERS INC,27561676.66
2005,1,2005-01-01,2005-03-31,70332,APC,03251110,ANADARKO PETROLEUM CORP,27105049.8
2005,1,2005-01-01,2005-03-31,89070,ZMH,98956P10,ZIMMER HOLDINGS INC,26984125.85
2005,1,2005-01-01,2005-03-31,25013,SGP,80660510,SCHERING PLOUGH CORP,26834363.52
2005,1,2005-01-01,2005-03-31,56573,ITW,45230810,ILLINOIS TOOL WORKS INC,26810976.14
2005,1,2005-01-01,2005-03-31,14322,S,81238710,SEARS ROEBUCK & CO,26692146.75
2005,1,2005-01-01,2005-03-31,75333,BR,12201410,BURLINGTON RESOURCES INC,26690112.78
2005,1,2005-01-01,2005-03-31,25785,F,34537086,FORD MOTOR CO DEL,26412974.97
2005,1,2005-01-01,2005-03-31,60871,ADI,03265410,ANALOG DEVICES INC,26353022.08
2005,1,2005-01-01,2005-03-31,86580,NVDA,67066G10,NVIDIA CORP,26227814.4
2005,1,2005-01-01,2005-03-31,64565,CFC,22237210,COUNTRYWIDE FINANCIAL CORP,25534181.0
2005,1,2005-01-01,2005-03-31,34833,OXY,67459910,OCCIDENTAL PETROLEUM CORP,25390804.74
2005,1,2005-01-01,2005-03-31,73139,SYK,86366710,STRYKER CORP,25119778.32
2005,1,2005-01-01,2005-03-31,76845,SEPR,81731510,SEPRACOR INC,25061765.28
2005,1,2005-01-01,2005-03-31,87055,COST,22160K10,COSTCO WHOLESALE CORP NEW,24989569.12
2005,1,2005-01-01,2005-03-31,24046,CCU,18450210,CLEAR CHANNEL COMMUNICATIONS INC,24886490.13
2005,1,2005-01-01,2005-03-31,45241,FRX,34583810,FOREST LABS INC,24805993.59
2005,1,2005-01-01,2005-03-31,87100,ASKJ,04517410,ASK JEEVES INC,24803996.32
2005,1,2005-01-01,2005-03-31,52708,LEN,52605710,LENNAR CORP,24638933.93
2005,1,2005-01-01,2005-03-31,27887,BAX,07181310,BAXTER INTERNATIONAL INC,24619176.16
2005,1,2005-01-01,2005-03-31,19350,DE,24419910,DEERE & CO,24596063.51
2005,1,2005-01-01,2005-03-31,81262,CMX,14170510,CAREMARK RX INC,24278597.6
2005,1,2005-01-01,2005-03-31,86544,INSP,09522910,INFOSPACE INC,24263673.92
2005,1,2005-01-01,2005-03-31,84511,ASTM,92346J10,AASTROM BIOSCIENCES INC,24208408.48
2005,1,2005-01-01,2005-03-31,79718,MERQ,58940510,MERCURY INTERACTIVE CORP,24059756.22
2005,1,2005-01-01,2005-03-31,25769,KMG,49238610,KERR MCGEE CORP,23952084.0
2005,1,2005-01-01,2005-03-31,77606,KSS,50025510,KOHLS CORP,23787718.14
2005,1,2005-01-01,2005-03-31,68591,STJ,79084910,ST JUDE MEDICAL INC,23725552.08
2005,1,2005-01-01,2005-03-31,77659,BBBY,07589610,BED BATH & BEYOND INC,23721382.14
2005,1,2005-01-01,2005-03-31,11754,EK,27746110,EASTMAN KODAK CO,23463556.47
2005,1,2005-01-01,2005-03-31,83693,SEBL,82617010,SIEBEL SYSTEMS INC,23412567.1
2005,1,2005-01-01,2005-03-31,49656,BK,06405810,BANK NEW YORK INC,23179979.68
2005,1,2005-01-01,2005-03-31,79323,ALL,02000210,ALLSTATE CORP,22893455.0
2005,1,2005-01-01,2005-03-31,81593,WM,62482R10,WASHINGTON MUTUAL INC,22784192.4
2005,1,2005-01-01,2005-03-31,14891,UCL,91528910,UNOCAL CORP,22647125.6
2005,1,2005-01-01,2005-03-31,87137,DVN,25179M10,DEVON ENERGY CORP NEW,22613496.08
2005,1,2005-01-01,2005-03-31,40416,AVP,05430310,AVON PRODUCTS INC,22554895.06
2005,1,2005-01-01,2005-03-31,17750,KMB,49436810,KIMBERLY CLARK CORP,22514083.74
2005,1,2005-01-01,2005-03-31,75034,BHI,05722G10,BAKER HUGHES INC,22504438.9
2005,1,2005-01-01,2005-03-31,25778,CA,12673P10,COMPUTER ASSOCIATES INTL INC,22477728.29
2005,1,2005-01-01,2005-03-31,75825,EOG,26875P10,EOG RESOURCES INC,22310194.5
2005,1,2005-01-01,2005-03-31,22293,GLW,21935010,CORNING INC,22232082.02
2005,1,2005-01-01,2005-03-31,28484,AHC,42809H10,AMERADA HESS CORP,21726447.7
2005,1,2005-01-01,2005-03-31,45794,SII,83211010,SMITH INTERNATIONAL INC,21633870.4
