gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
010974,C,00X,LC,15077.0,21796.0,1950-01-01,1962-01-30
010974,P,01,LC,15077.0,21796.0,1962-01-31,2009-01-05
021739,P,01,LC,15079.0,55119.0,2014-11-13,2021-07-30
021261,P,01,LC,15088.0,55125.0,2014-11-14,2016-12-30
019647,P,01,LC,15092.0,55129.0,2014-12-11,
022182,P,01,LC,15108.0,55133.0,2014-12-12,2023-11-30
010726,P,06,LC,15117.0,21782.0,2014-12-05,2019-09-30
022229,P,01,LC,15132.0,55148.0,2014-12-03,2019-09-29
035712,P,01,LC,15132.0,55148.0,2019-09-30,
022230,P,01,LC,15134.0,55150.0,2014-12-19,2018-03-29
020088,P,01,LC,15145.0,55158.0,2015-01-23,
022672,P,01,LC,15167.0,55162.0,2015-01-30,
022709,P,01,LC,15183.0,55173.0,2015-01-30,2019-12-31
184113,P,01,LC,15186.0,55176.0,2015-01-28,
022867,P,01,LC,15198.0,55184.0,2015-02-12,2024-08-08
011228,C,00X,LC,15202.0,21876.0,1960-01-01,1962-01-30
011228,P,01,LC,15202.0,21876.0,1962-01-31,
022982,P,02,LC,15266.0,55190.0,2015-03-10,2018-10-31
022878,P,02,LC,15271.0,55174.0,2015-03-09,2017-07-12
032074,P,01,LC,15271.0,55174.0,2017-07-13,2024-11-07
023119,P,01,LC,15272.0,55214.0,2015-03-26,
165968,P,01,LC,15273.0,55215.0,2015-03-04,
023238,P,01,LC,15291.0,55229.0,2015-04-16,
022480,P,02,LC,15292.0,55194.0,2015-04-06,2016-07-29
027738,P,01,LC,15292.0,55194.0,2016-08-01,2017-07-05
021944,P,02,LC,15293.0,55212.0,2015-06-30,2017-07-24
032244,P,01,LC,15293.0,55212.0,2017-07-25,
023071,P,01,LC,15315.0,55241.0,2015-04-01,
011842,P,01,LC,15318.0,362.0,1982-01-29,
023256,P,01,LC,15359.0,55260.0,2015-05-07,2020-04-30
021619,P,01,LC,15375.0,55275.0,2015-05-13,2017-07-31
032316,P,01,LC,15375.0,55275.0,2017-08-16,
023856,P,01,LC,15390.0,55284.0,2015-06-18,2021-01-29
023225,P,01,LC,15395.0,55287.0,2015-07-01,
022741,P,01,LC,15398.0,55290.0,2015-07-01,
022734,P,01,LC,15401.0,55293.0,2015-07-01,2016-06-02
023827,P,01,LC,15404.0,55294.0,2015-07-02,2016-06-30
005568,P,04,LC,15408.0,55296.0,2015-07-06,
021004,P,01,LC,15429.0,55313.0,2015-06-25,
023843,P,01,LC,15440.0,55321.0,2015-06-12,
011584,C,00X,LU,15456.0,21936.0,1950-01-01,1962-01-30
011584,P,01,LU,15456.0,21936.0,1962-01-31,
011584,N,01C,LX,15456.0,21936.0,1998-04-30,
011609,C,00X,LC,15472.0,21941.0,1950-01-01,1962-01-30
011609,P,01,LC,15472.0,21941.0,1962-01-31,2008-10-06
024638,P,01,LC,15478.0,55335.0,2015-06-25,
024616,P,01,LC,15488.0,55341.0,2015-07-20,
023249,P,01,LC,15490.0,55343.0,2015-08-04,
024176,P,01,LC,15534.0,55365.0,2015-07-02,
024076,P,01,LC,15535.0,55366.0,2015-07-16,
187039,J,05,LC,15546.0,53853.0,2015-08-17,2017-12-31
187039,P,05,LC,15546.0,53853.0,2018-01-01,
010332,C,00X,LU,15560.0,21711.0,1959-07-01,1965-01-28
010332,P,01,LU,15560.0,21711.0,1965-01-29,2015-10-08
010499,C,00X,LC,15579.0,21737.0,1953-01-01,1962-02-27
010499,P,01,LC,15579.0,21737.0,1962-02-28,
024249,P,01,LC,15585.0,55379.0,2015-07-01,
024861,P,01,LC,15627.0,55386.0,2015-08-06,
024905,P,01,LC,15643.0,55396.0,2015-08-05,
001478,C,00X,LC,15667.0,20086.0,1950-01-01,1962-01-30
001478,P,01,LC,15667.0,20086.0,1962-01-31,2009-10-15
026147,P,01,LC,15694.0,55417.0,2015-09-18,
025157,P,02,LC,15703.0,55419.0,2015-10-15,2019-07-31
026156,P,01,LC,15707.0,55421.0,2015-11-02,
009846,C,00X,LU,15720.0,21543.0,1951-01-01,1962-01-30
009846,P,01,LU,15720.0,21543.0,1962-01-31,
001860,P,01,LC,15721.0,403.0,1972-12-14,2017-10-05
025756,P,01,LC,15729.0,55429.0,2015-10-07,
025904,P,01,LC,15775.0,55452.0,2015-10-07,
025772,P,02,LC,15782.0,55406.0,2015-10-16,2017-11-29
032771,C,01,LC,15782.0,55406.0,2017-11-30,2017-11-30
032771,P,01,LC,15782.0,55406.0,2017-12-01,
026269,P,01,LC,15788.0,55462.0,2015-10-29,2020-11-30
026367,P,01,LC,15826.0,55474.0,2015-11-19,
026349,P,01,LC,15831.0,55477.0,2015-11-19,
026381,P,01,LC,15850.0,55487.0,2015-11-19,2020-06-30
026061,P,01,LC,15850.0,55487.0,2020-07-01,
026494,P,01,LC,15909.0,55509.0,2015-12-10,
184957,P,01,LC,15914.0,55512.0,2016-01-07,
026495,P,01,LC,15921.0,55517.0,2016-03-04,2022-07-29
026818,P,01,LC,15934.0,55519.0,2016-02-11,2018-05-31
026874,P,01,LC,15937.0,55521.0,2016-02-03,
165052,J,03,LC,15980.0,48779.0,2016-04-08,
026636,P,01,LC,15995.0,55540.0,2016-03-18,
026864,P,02,LC,16021.0,55527.0,2016-04-15,
026722,P,01,LC,16051.0,55562.0,2016-05-31,2021-03-31
027155,P,01,LC,16064.0,55568.0,2016-05-31,
026892,P,01,LC,16068.0,55572.0,2016-05-31,2023-09-29
018312,P,01,LC,16084.0,55582.0,2016-05-31,
005600,P,05,LC,16086.0,55584.0,2016-07-01,2020-10-29
005600,P,08,LC,16086.0,55584.0,2021-11-09,
026590,P,01,LC,16087.0,55585.0,2016-07-05,
027364,P,01,LC,16140.0,55601.0,2016-06-23,
027148,P,01,LC,16149.0,55607.0,2016-07-15,2017-06-30
019998,P,01,LC,16260.0,55672.0,2016-08-11,
026709,P,01,LC,16279.0,55687.0,2016-10-03,2019-10-31
028012,P,01,LC,16290.0,55694.0,2016-09-29,
026746,P,01,LC,16304.0,55697.0,2016-09-30,
027885,P,01,LC,16309.0,55701.0,2016-09-21,
027907,P,01,LC,16318.0,55704.0,2016-09-22,
028499,P,01,LC,16343.0,55716.0,2016-11-01,
027638,P,01,LC,16347.0,55718.0,2016-11-01,
028084,P,01,LC,16382.0,55747.0,2016-10-06,2023-03-31
028086,P,01,LC,16393.0,55755.0,2016-10-06,2021-06-15
178847,P,01,LC,16393.0,55755.0,2021-06-16,
028470,P,01,LC,16398.0,55758.0,2016-10-26,2020-04-30
027819,P,02,LC,16400.0,55675.0,2016-10-31,2018-12-27
034584,P,01,LC,16400.0,55675.0,2018-12-28,
005169,C,00X,LC,16424.0,20818.0,1950-01-01,1962-01-30
005169,P,01,LC,16424.0,20818.0,1962-01-31,2005-09-30
028790,P,01,LC,16431.0,55778.0,2016-11-10,
005234,C,00X,LU,16432.0,20834.0,1950-01-01,1962-01-30
005234,P,01,LU,16432.0,20834.0,1962-01-31,
014793,P,06,LC,16436.0,20221.0,2016-10-05,
237269,P,01,LC,16473.0,55796.0,2016-11-07,
027054,J,02,LC,16493.0,55773.0,2016-11-07,2019-07-31
028719,P,01,LC,16497.0,55805.0,2017-01-03,
027394,P,01,LC,16499.0,55807.0,2017-01-04,
002001,P,01,LU,16505.0,475.0,1973-01-31,1990-12-31
002002,P,01,LC,16505.0,475.0,1991-01-02,
029819,P,01,LC,16544.0,55837.0,2017-02-02,2018-03-29
